harm	voice4	voice3	voice2	voice1	beat	meter	onset_strength	beat_strength	LABEL	similarity
iib	4B-	4g	8bb-	32ccc#	3	M6/8	2.0	off beat	0.0	0.6666666666666666
iib	4B-	4g	8bb-	32ddd	3.125	M6/8	1.0	off beat	0.0	0.6666666666666666
iib	4B-	4g	8bb-	32ccc#	3.25	M6/8	1.0	off beat	0.0	0.6666666666666666
iib	4B-	4g	8bb-	32ddd	3.375	M6/8	1.0	off beat	0.0	0.6666666666666666
iib	8B-	8g	8gg	32ccc	3.5	M6/8	2.0	off beat	0.0	0.8
iib	8B-	8g	8gg	32bb-	3.625	M6/8	1.0	off beat	0.0	0.8
iib	8B-	8g	8gg	32aa	3.75	M6/8	1.0	off beat	0.0	0.8
iib	8B-	8g	8gg	32gg	3.875	M6/8	0.0	off beat	0.0	0.8
iim7	4B-	4g	4ff	16ff	1	M6/8	1.0	strong beat	1.0	0.8571428571428571
iim7	4B-	4g	4ff	16ee	1.25	M6/8	1.0	off beat	0.0	0.8571428571428571
iim7	4B-	4g	4ff	16gg	1.5	M6/8	1.0	off beat	0.0	0.8571428571428571
iim7	4B-	4g	4ff	16ccc	1.75	M6/8	1.0	off beat	0.0	0.5714285714285714
V7d	8B-	8g	8ee	16eee	2	M6/8	2.0	off beat	1.0	1.0
V7d	8B-	8g	8ee	16ggg	2.25	M6/8	1.0	off beat	0.0	0.0
Ib	4A	4c	8ff	32r	2.5	M6/8	3.0	weak beat	1.0	0.8571428571428571
Ib	4A	4c	8ff	32ee	2.625	M6/8	1.0	off beat	0.0	0.8571428571428571
Ib	4A	4c	8ff	32ff	2.75	M6/8	0.0	off beat	0.0	0.8571428571428571
Ib	4A	4c	8ff	32gg	2.875	M6/8	1.0	off beat	0.0	0.6666666666666666
Ib	4A	4c	4r	32aa	3	M6/8	1.0	off beat	0.0	0.8
Ib	4A	4c	4r	32gg	3.125	M6/8	1.0	off beat	0.0	0.6666666666666666
Ib	4A	4c	4r	32ff	3.25	M6/8	1.0	off beat	0.0	0.6666666666666666
Ib	4A	4c	4r	32ee	3.375	M6/8	1.0	off beat	0.0	0.3333333333333333
I	8F	8a	4r	32dd	3.5	M6/8	3.0	off beat	1.0	0.6666666666666666
I	8F	8a	4r	32cc	3.625	M6/8	1.0	off beat	0.0	0.6666666666666666
I	8F	8a	4r	32b-	3.75	M6/8	1.0	off beat	0.0	0.8
I	8F	8a	4r	32a	3.875	M6/8	0.0	off beat	0.0	0.0
ii	4G	4d	8.b-	4g	1	M6/8	4.0	strong beat	1.0	0.6666666666666666
ii	4G	4d	16cc	4g	1.75	M6/8	1.0	off beat	0.0	0.3333333333333333
iim7d	8F	8d	8b-	12..r	2	M6/8	2.0	off beat	1.0	0.3333333333333333
V7b	8E	4c	8b-	12..r	2.5	M6/8	2.0	weak beat	1.0	1.0
V7b	8E	4c	8b-	32bb-	2.625	M6/8	1.0	off beat	0.0	0.8571428571428571
V7b	8E	4c	8b-	32gg	2.75	M6/8	1.0	off beat	0.0	0.8571428571428571
V7b	8E	4c	8b-	32ee	2.875	M6/8	1.0	off beat	0.0	0.5
V7b	8c	4c	8cc	32cc	3	M6/8	1.0	off beat	0.0	0.6666666666666666
V7b	8c	4c	8cc	32b-	3.125	M6/8	1.0	off beat	0.0	0.5
V7b	8c	4c	8cc	32g	3.25	M6/8	1.0	off beat	0.0	0.5
V7b	8c	4c	8cc	32e	3.375	M6/8	1.0	off beat	0.0	0.4
I	8F	8c	8a	8f	3.5	M6/8	3.0	off beat	1.0	0.0
iib	4BB-	4d	8.g	4.r	1	M6/8	3.0	strong beat	1.0	0.8
iib	4BB-	4d	16dd	4.r	1.75	M6/8	1.0	off beat	0.0	0.4
viio/V	8BB	8d	8f	4.r	2	M6/8	2.0	off beat	1.0	0.0
V	8C	8G	8e	32r	2.5	M6/8	3.0	weak beat	1.0	1.0
V	8C	8G	8e	32c	2.625	M6/8	1.0	off beat	0.0	0.8571428571428571
V	8C	8G	8e	32B	2.75	M6/8	1.0	off beat	0.0	0.8571428571428571
V	8C	8G	8e	32c	2.875	M6/8	1.0	off beat	0.0	0.0
V	4r	4r	4r	32d	3	M6/8	1.0	off beat	0.0	0.0
V	4r	4r	4r	32c	3.125	M6/8	1.0	off beat	0.0	0.0
V	4r	4r	4r	32d	3.25	M6/8	1.0	off beat	0.0	0.0
V	4r	4r	4r	32e	3.375	M6/8	1.0	off beat	0.0	0.0
V	4r	4r	4r	32f	3.5	M6/8	1.0	off beat	0.0	0.0
V	4r	4r	4r	32g	3.625	M6/8	1.0	off beat	0.0	0.0
V	4r	4r	4r	32a	3.75	M6/8	1.0	off beat	0.0	0.0
V	4r	4r	4r	32b-	3.875	M6/8	1.0	off beat	0.0	0.0
Ib	4AA	4F	4f	8.cc	1	M6/8	4.0	strong beat	1.0	0.6666666666666666
Ib	4AA	4F	4f	16dd	1.75	M6/8	1.0	off beat	0.0	0.6666666666666666
Ib	8AA	8c	8f	8cc	2	M6/8	2.0	off beat	0.0	0.5714285714285714
iim7	4GG	4d	4f	16cc	2.5	M6/8	2.0	weak beat	1.0	0.75
iim7	4GG	4d	4f	16b-	2.75	M6/8	1.0	off beat	0.0	0.75
iim7	4GG	4d	4f	32aa	3.25	M6/8	1.0	off beat	0.0	0.8571428571428571
iim7	4GG	4d	4f	32gg	3.375	M6/8	1.0	off beat	0.0	0.5714285714285714
V	8C	8G	8e	32ff	3.5	M6/8	4.0	off beat	1.0	0.8571428571428571
V	8C	8G	8e	32ee	3.625	M6/8	1.0	off beat	0.0	0.8571428571428571
V	8C	8G	8e	32dd	3.75	M6/8	1.0	off beat	0.0	0.8571428571428571
V	8C	8G	8e	32cc	3.875	M6/8	1.0	off beat	0.0	0.0
I	4FF	4A	4f	32b-	1	M6/8	4.0	strong beat	1.0	0.8
I	4FF	4A	4f	32a	1.125	M6/8	1.0	off beat	0.0	0.8
I	4FF	4A	4f	32dd	1.25	M6/8	1.0	off beat	0.0	0.6666666666666666
I	4FF	4A	4f	32cc	1.375	M6/8	1.0	off beat	0.0	0.8
I	4FF	4A	4f	32ff	1.5	M6/8	1.0	off beat	0.0	0.8
I	4FF	4A	4f	32ee	1.625	M6/8	1.0	off beat	0.0	0.6666666666666666
I	4FF	4A	4f	32dd	1.75	M6/8	1.0	off beat	0.0	0.6666666666666666
I	4FF	4A	4f	32cc	1.875	M6/8	1.0	off beat	0.0	0.6666666666666666
I	8FF	8F	8a	32b-	2	M6/8	3.0	off beat	0.0	0.8
I	8FF	8F	8a	32a	2.125	M6/8	0.0	off beat	0.0	0.8
I	8FF	8F	8a	32g	2.25	M6/8	1.0	off beat	0.0	0.8
I	8FF	8F	8a	32f	2.375	M6/8	1.0	off beat	0.0	0.0
V	4C	4E	4g	4c	2.5	M6/8	4.0	weak beat	1.0	0.6666666666666666
viioc	8BB-	8E	8g	8r	3.5	M6/8	1.0	off beat	1.0	0.0
Ib	4AA	4F	4f	8cc	1	M6/8	4.0	strong beat	1.0	1.0
Ib	4AA	4F	4f	24cc	1.5	M6/8	0.0	off beat	0.0	0.6666666666666666
Ib	4AA	4F	4f	24dd	1.66667	M6/8	1.0	off beat	0.0	0.6666666666666666
Ib	4AA	4F	4f	24cc	1.83333	M6/8	1.0	off beat	0.0	1.0
Ib	8AA	8c	8f	24ff	2	M6/8	2.0	off beat	0.0	0.8571428571428571
Ib	8AA	8c	8f	24ee	2.16667	M6/8	1.0	off beat	0.0	0.75
Ib	8AA	8c	8f	24dd	2.33333	M6/8	1.0	off beat	0.0	0.75
iim7	4GG	4d	4f	24cc	2.5	M6/8	3.0	weak beat	1.0	0.75
iim7	4GG	4d	4f	24b-	2.66667	M6/8	1.0	off beat	0.0	0.75
iim7	4GG	4d	4f	24a	2.83333	M6/8	1.0	off beat	0.0	0.8571428571428571
iim7	4GG	4d	4f	24g	3	M6/8	1.0	off beat	0.0	1.0
iim7	4GG	4d	4f	24f	3.16667	M6/8	0.0	off beat	0.0	0.8571428571428571
iim7	4GG	4d	4f	24e	3.33333	M6/8	1.0	off beat	0.0	0.75
V	8C	8G	8e	24d	3.5	M6/8	2.0	off beat	1.0	0.8571428571428571
V	8C	8G	8e	24c	3.66667	M6/8	1.0	off beat	0.0	0.8571428571428571
V	8C	8G	8e	24B-	3.83333	M6/8	1.0	off beat	0.0	0.0
I	4FF	4A	4f	24A	1	M6/8	3.0	strong beat	1.0	0.8
I	4FF	4A	4f	24d	1.16667	M6/8	1.0	off beat	0.0	0.6666666666666666
I	4FF	4A	4f	24c	1.33333	M6/8	1.0	off beat	0.0	0.8
I	4FF	4A	4f	24f	1.5	M6/8	0.0	off beat	0.0	0.8
I	4FF	4A	4f	24e	1.66667	M6/8	1.0	off beat	0.0	0.6666666666666666
I	4FF	4A	4f	24g	1.83333	M6/8	1.0	off beat	0.0	0.8
I	8FF	8F	8a	24f	2	M6/8	2.0	off beat	0.0	0.8
I	8FF	8F	8a	24cc	2.16667	M6/8	1.0	off beat	0.0	0.8
I	8FF	8F	8a	24a	2.33333	M6/8	0.0	off beat	0.0	0.0
V	4C	4E	4g	8c 8g	2.5	M6/8	4.0	weak beat	1.0	0.6666666666666666
viioc	8BB-	8E	8g	4r	3.5	M6/8	1.0	off beat	1.0	0.0
Ib	4AA	4F	4f	8.cc	1	M6/8	4.0	strong beat	1.0	0.6666666666666666
Ib	4AA	4F	4f	16dd	1.75	M6/8	1.0	off beat	0.0	0.6666666666666666
Ib	8AA	8F	8f	8cc	2	M6/8	1.0	off beat	0.0	0.8
Ib	4AA	4F	4f	4ff	2.5	M6/8	1.0	weak beat	0.0	0.6666666666666666
V7b/IV	8AA	8E-	8f	8cc#	3.5	M6/8	2.0	off beat	1.0	0.2857142857142857
IV	4BB-	4D	4f	32dd	1	M6/8	3.0	strong beat	1.0	0.8571428571428571
IV	4BB-	4D	4f	32ee	1.125	M6/8	1.0	off beat	0.0	0.8571428571428571
IV	4BB-	4D	4f	32ff	1.25	M6/8	1.0	off beat	0.0	0.8571428571428571
IV	4BB-	4D	4f	32ee	1.375	M6/8	1.0	off beat	0.0	0.8571428571428571
IV	4BB-	4D	4f	32dd	1.5	M6/8	1.0	off beat	0.0	0.8571428571428571
IV	4BB-	4D	4f	32cc	1.625	M6/8	1.0	off beat	0.0	0.8571428571428571
IV	4BB-	4D	4f	32b-	1.75	M6/8	1.0	off beat	0.0	0.8571428571428571
IV	4BB-	4D	4f	32a	1.875	M6/8	1.0	off beat	0.0	0.5
IV	8BB-	8d	8g	32cc	2	M6/8	3.0	off beat	0.0	0.8571428571428571
IV	8BB-	8d	8g	32b-	2.125	M6/8	1.0	off beat	0.0	1.0
IV	8BB-	8d	8g	32dd	2.25	M6/8	1.0	off beat	0.0	0.8571428571428571
IV	8BB-	8d	8g	32cc	2.375	M6/8	1.0	off beat	0.0	0.8571428571428571
iib	4BB-	4d	4g	32b-	2.5	M6/8	1.0	weak beat	1.0	0.8571428571428571
iib	4BB-	4d	4g	32a	2.625	M6/8	1.0	off beat	0.0	0.8571428571428571
iib	4BB-	4d	4g	32g	2.75	M6/8	0.0	off beat	0.0	0.8571428571428571
iib	4BB-	4d	4g	32f#	2.875	M6/8	1.0	off beat	0.0	0.75
iib	4BB-	4d	4g	32a	3	M6/8	1.0	off beat	0.0	0.8571428571428571
iib	4BB-	4d	4g	32g	3.125	M6/8	0.0	off beat	0.0	1.0
iib	4BB-	4d	4g	32b-	3.25	M6/8	1.0	off beat	0.0	0.8571428571428571
iib	4BB-	4d	4g	32a	3.375	M6/8	1.0	off beat	0.0	0.6666666666666666
iib	8BB-	8g	8g	32g	3.5	M6/8	0.0	off beat	0.0	0.8
iib	8BB-	8g	8g	32f	3.625	M6/8	1.0	off beat	0.0	0.6666666666666666
iib	8BB-	8g	8g	32e	3.75	M6/8	1.0	off beat	0.0	0.6666666666666666
iib	8BB-	8g	8g	32d	3.875	M6/8	1.0	off beat	0.0	0.0
Ic	4C	4f	4a	[8c	1	M6/8	4.0	strong beat	1.0	1.0
Ic	4C	4f	4a	32a	1.75	M6/8	0.0	off beat	0.0	1.0
Ic	4C	4f	4a	32f	1.875	M6/8	0.0	off beat	0.0	1.0
Ic	8C	8f	8A	32cc	2	M6/8	2.0	off beat	0.0	1.0
Ic	8C	8f	8A	32a	2.125	M6/8	1.0	off beat	0.0	1.0
Ic	8C	8f	8A	32cc	2.25	M6/8	1.0	off beat	0.0	1.0
Ic	8C	8f	8A	32a	2.375	M6/8	1.0	off beat	0.0	1.0
Ic	4C	4f	4A	4f	2.5	M6/8	0.0	weak beat	0.0	0.2857142857142857
V7	8C	8e	8B-	16g	3.5	M6/8	3.0	off beat	1.0	0.75
V7	8C	8e	8B-	16f	3.75	M6/8	1.0	off beat	0.0	0.3333333333333333
I	4F	16f	8A	8f	1	M6/8	2.0	strong beat	1.0	0.8
I	4F	16c	8A	8f	1.25	M6/8	1.0	off beat	0.0	0.8
I	4F	16A	8f	8f	1.5	M6/8	0.0	off beat	0.0	0.5
I	4F	16c	8f	8f	1.75	M6/8	1.0	off beat	0.0	0.5
I	8F	16A	8f	8f	2	M6/8	1.0	off beat	0.0	0.5
I	8F	16c	8f	8f	2.25	M6/8	1.0	off beat	0.0	0.3333333333333333
V7	4C	16B-	4.e	4g	2.5	M6/8	4.0	weak beat	1.0	0.8571428571428571
V7	4C	16c	4.e	4g	2.75	M6/8	1.0	off beat	0.0	0.8571428571428571
V7	4C	16B-	4.e	4g	3	M6/8	1.0	off beat	0.0	0.8571428571428571
V7	4C	16c	4.e	4g	3.25	M6/8	1.0	off beat	0.0	0.6666666666666666
V7	8C	16B-	4.e	16e	3.5	M6/8	1.0	off beat	0.0	0.8
V7	8C	16c	4.e	16c	3.75	M6/8	1.0	off beat	0.0	0.0
I	4FF	16A	8A	8f	1	M6/8	3.0	strong beat	1.0	0.8
I	4FF	16c	8A	8f	1.25	M6/8	1.0	off beat	0.0	0.8
I	4FF	16A	8f	8f	1.5	M6/8	0.0	off beat	0.0	0.5
I	4FF	16c	8f	8f	1.75	M6/8	1.0	off beat	0.0	0.5
I	8F	16A	8f	8f	2	M6/8	2.0	off beat	0.0	0.5
I	8F	16c	8f	8f	2.25	M6/8	1.0	off beat	0.0	0.3333333333333333
V7	4C	16B-	4.e	4g	2.5	M6/8	4.0	weak beat	1.0	0.8571428571428571
V7	4C	16c	4.e	4g	2.75	M6/8	1.0	off beat	0.0	0.8571428571428571
V7	4C	16B-	4.e	4g	3	M6/8	1.0	off beat	0.0	0.8571428571428571
V7	4C	16c	4.e	4g	3.25	M6/8	1.0	off beat	0.0	0.6666666666666666
V7	8C	16B-	4.e	16e	3.5	M6/8	1.0	off beat	0.0	0.8
V7	8C	16c	4.e	16c	3.75	M6/8	1.0	off beat	0.0	0.0
I	8FF	8A	8f	8f	1	M6/8	3.0	strong beat	1.0	0.8
I	8F	8c	8f	8a	1.5	M6/8	3.0	off beat	0.0	1.0
I	8F	8c	8f	8a	2	M6/8	0.0	off beat	0.0	1.0
I	4F	4c	8.f	8.a	2.5	M6/8	0.0	weak beat	0.0	0.5714285714285714
I	4F	4c	16g	16b-	3.25	M6/8	2.0	off beat	0.0	0.5714285714285714
I	8F	8c	8f	8a	3.5	M6/8	2.0	off beat	0.0	0.6666666666666666
vi	8D	8d	8f	8a	1	M6/8	2.0	strong beat	1.0	1.0
vi	8D	8d	8f	8a	1.5	M6/8	0.0	off beat	0.0	1.0
vi	8D	8d	8f	8a	2	M6/8	0.0	off beat	0.0	0.5714285714285714
viioD7b/V	4D	4.F	4.a-	8.b	2.5	M6/8	3.0	weak beat	1.0	0.75
viioD7b/V	4D	4.F	4.a-	16cc	3.25	M6/8	1.0	off beat	0.0	0.75
viioD7b/V	8D	4.F	4.a-	8b	3.5	M6/8	1.0	off beat	0.0	0.2857142857142857
Ic	[4.C	8F	8a	8cc	1	M6/8	3.0	strong beat	1.0	0.3333333333333333
(V7)	[4.C	8G	8g	8b-	1.5	M6/8	3.0	off beat	1.0	0.3333333333333333
(Ic)	[4.C	8A	8f	8a	2	M6/8	3.0	off beat	1.0	0.2857142857142857
V7	4.C]	4.B-	4d	4.g	2.5	M6/8	3.0	weak beat	1.0	0.75
V7	4.C]	4.B-	8e	4.g	3.5	M6/8	1.0	off beat	0.0	0.2857142857142857
Ic	[4.C	8A	8f	8a	1	M6/8	3.0	strong beat	1.0	0.3333333333333333
(V7)	[4.C	8G	8g	8b-	1.5	M6/8	3.0	off beat	1.0	0.3333333333333333
(Ic)	[4.C	8F	8a	8cc	2	M6/8	3.0	off beat	1.0	0.2857142857142857
V7	4.C]	4.B-	4d	4.g	2.5	M6/8	3.0	weak beat	1.0	0.75
V7	4.C]	4.B-	8e	4.g	3.5	M6/8	1.0	off beat	0.0	0.2857142857142857
Ic	[4.C	8A	8f	8a	1	M6/8	3.0	strong beat	1.0	0.3333333333333333
(V7)	[4.C	8G	8g	8b-	1.5	M6/8	3.0	off beat	1.0	0.3333333333333333
(Ic)	[4.C	8F	8a	8cc	2	M6/8	3.0	off beat	1.0	0.2857142857142857
V7	4.C]	4.B-	4d	4.g	2.5	M6/8	3.0	weak beat	1.0	0.75
V7	4.C]	4.B-	8e	4.g	3.5	M6/8	1.0	off beat	0.0	0.0
I	8F	8A	2f	8a	1	M6/8	4.0	strong beat	1.0	0.4
IV	8D	8F	2f	8b-	1.5	M6/8	2.0	off beat	1.0	0.3333333333333333
Ib	8AA	8F	2f	8cc	2	M6/8	2.0	off beat	1.0	0.3333333333333333
iim7b	8BB-	8F	2f	8dd	2.5	M6/8	2.0	weak beat	1.0	0.2857142857142857
V7c	8GG	8c	8b-	8ee	3	M6/8	4.0	off beat	1.0	0.2857142857142857
I	8FF	8c	8a	8ff	3.5	M6/8	3.0	off beat	1.0	0.3333333333333333
V7b	4EE	4c	4g	8gg	1	M6/8	3.0	strong beat	1.0	1.0
V7b	4EE	4c	4g	24gg	1.66667	M6/8	0.0	off beat	0.0	0.8571428571428571
V7b	4EE	4c	4g	24aa	1.83333	M6/8	1.0	off beat	0.0	0.0
V7b	2r	2r	2r	24bb-	2	M6/8	1.0	off beat	0.0	0.0
V7b	2r	2r	2r	24gg	2.16667	M6/8	1.0	off beat	0.0	0.0
V7b	2r	2r	2r	24ee	2.33333	M6/8	1.0	off beat	0.0	0.0
V7b	2r	2r	2r	8cc	2.5	M6/8	1.0	weak beat	0.0	0.0
V7b	2r	2r	2r	8b-	3	M6/8	1.0	off beat	0.0	0.0
V7b	2r	2r	2r	8g	3.5	M6/8	1.0	off beat	0.0	0.0
V7b	8r	8r	8r	8e	1	M6/8	1.0	strong beat	0.0	0.4
V7b	8E	8c	8g	8b-	1.5	M6/8	4.0	off beat	0.0	0.2857142857142857
I	8F	8c	8f	8a	2	M6/8	3.0	off beat	1.0	0.0
iic	8r	8r	8r	8dd	2.5	M6/8	1.0	weak beat	1.0	0.5
iib	8B-	8B-	8d	8g	3	M6/8	3.0	off beat	1.0	0.5
iib	8r	8r	8r	8bb-	3.5	M6/8	1.0	off beat	0.0	0.0
V7	8r	8r	8r	8ee	1	M6/8	1.0	strong beat	1.0	0.4
V7	8c	8g	8e	8b-	1.5	M6/8	4.0	off beat	0.0	0.0
vi	8d	8f	8f	8a	2	M6/8	3.0	off beat	1.0	0.6666666666666666
IV	8B-	8f	8b-	8dd	3	M6/8	3.0	off beat	1.0	0.2857142857142857
V7	8c	8B-	8g	8ee	1.5	M6/8	3.0	off beat	1.0	0.0
I	8F	8A	8a	8ff	3	M6/8	4.0	off beat	1.0	0.8
I	8F	8c	8a	8ff	3.5	M6/8	1.0	off beat	0.0	1.0
I	8F	8c	8a	8ff	1	M6/8	0.0	strong beat	0.0	0.5
I	2r	2r	2r	32a	1.75	M6/8	0.0	off beat	0.0	0.0
I	2r	2r	2r	32b-	1.875	M6/8	1.0	off beat	0.0	0.0
I	2r	2r	2r	32cc	2	M6/8	1.0	off beat	0.0	0.0
I	2r	2r	2r	32a	2.125	M6/8	1.0	off beat	0.0	0.0
I	2r	2r	2r	32b-	2.25	M6/8	1.0	off beat	0.0	0.0
I	2r	2r	2r	32g	2.375	M6/8	1.0	off beat	0.0	0.0
I	2r	2r	2r	32a	2.5	M6/8	1.0	weak beat	0.0	0.0
I	2r	2r	2r	32f	2.625	M6/8	1.0	off beat	0.0	0.0
I	2r	2r	2r	32e	2.75	M6/8	1.0	off beat	0.0	0.0
I	2r	2r	2r	32f	2.875	M6/8	1.0	off beat	0.0	0.0
I	2r	2r	2r	32g	3	M6/8	1.0	off beat	0.0	0.0
I	2r	2r	2r	32f	3.125	M6/8	1.0	off beat	0.0	0.0
I	2r	2r	2r	32a	3.25	M6/8	1.0	off beat	0.0	0.0
I	2r	2r	2r	32f	3.375	M6/8	1.0	off beat	0.0	0.0
I	8r	8r	8r	32b-	3.5	M6/8	1.0	off beat	0.0	0.0
I	8r	8r	8r	32f	3.625	M6/8	1.0	off beat	0.0	0.0
I	8r	8r	8r	32cc	3.75	M6/8	1.0	off beat	0.0	0.0
I	8r	8r	8r	32f	3.875	M6/8	1.0	off beat	0.0	0.5
IV	8BB-	8B-	8f	8dd	1	M6/8	3.0	strong beat	1.0	0.2857142857142857
V7	8C	8G	8B-	8e	2	M6/8	3.0	off beat	1.0	0.0
I	8FF	8F	8A	8f	2.5	M6/8	4.0	weak beat	1.0	0.0
V	8r	8r	8r	8a/	2.5	M2/4	1.0	off beat	1.0	0.0
i	8r	8r	8r	4dd\	1	M2/4	1.0	strong beat	1.0	0.5
ib	8F\	8A/	8d/	4dd\	1.5	M2/4	3.0	off beat	1.0	0.0
viiob	8E\L	8G/L	8c#/L	8ee\L	2	M2/4	4.0	weak beat	1.0	0.0
i	8D\J	8F/J	8d/J	8ff\J	2.5	M2/4	4.0	off beat	1.0	0.0
V7d	8G\L	4A/	8e/L	8cc#\L	1	M2/4	4.0	strong beat	1.0	0.2857142857142857
ib	8F\J	4A/	8f/J	8dd\J	1.5	M2/4	3.0	off beat	1.0	0.0
VI	8r	8r	8r	4b-\	2	M2/4	1.0	weak beat	1.0	0.4
viioD7c	8G\	8e\	8c#/	4b-\	2.5	M2/4	3.0	off beat	1.0	0.0
ib	8F\L	8f\L	8d/	8a/L	1	M2/4	4.0	strong beat	1.0	0.4
VI	8B-\J	8d\J	4d/	16.dd/L	1.5	M2/4	2.0	off beat	1.0	1.0
VI	8B-\J	8d\J	4d/	32d/JJk	1.875	M2/4	0.0	off beat	0.0	0.6666666666666666
iiob	8G\L	8B-/L	4d/	8.e/L	2	M2/4	2.0	weak beat	1.0	0.2857142857142857
V7	8A\J	8A/J	8c#/	8.e/L	2.5	M2/4	2.0	off beat	1.0	0.6666666666666666
V7	8A\J	8A/J	8c#/	32f/LL	2.75	M2/4	1.0	off beat	0.0	0.6666666666666666
V7	8A\J	8A/J	8c#/	32g/JJJ	2.875	M2/4	1.0	off beat	0.0	0.4
i	8r	4D/	4d/	32g/LLL	1	M2/4	2.0	strong beat	1.0	0.5
i	8r	4D/	4d/	32f/	1.125	M2/4	1.0	off beat	0.0	0.5
i	8r	4D/	4d/	32e/	1.25	M2/4	1.0	off beat	0.0	0.6666666666666666
i	8r	4D/	4d/	32d/JJ	1.375	M2/4	0.0	off beat	0.0	1.0
i	8D/L	4D/	4d/	8d'/J	1.5	M2/4	0.0	off beat	0.0	1.0
i	8DD'/J	4r	4r	8r	2	M2/4	1.0	weak beat	0.0	0.0
V	8r	4r	4r	8a/	2.5	M2/4	1.0	off beat	1.0	0.0
i	8r	8r	8r	4dd\	1	M2/4	1.0	strong beat	1.0	0.5
ib	8F\	8d\	8A/	4dd\	1.5	M2/4	3.0	off beat	1.0	0.0
viio	8E\L	8c#\L	8g/L	8ee\L	2	M2/4	4.0	weak beat	1.0	0.0
i	8D\J	8d\J	8f/J	16.ff\L	2.5	M2/4	4.0	off beat	1.0	0.8
i	8D\J	8d\J	8f/J	32a\JJk	2.875	M2/4	1.0	off beat	0.0	0.5714285714285714
ivm7	4G\	4d\	8f/L	[4b-\	1	M2/4	2.0	strong beat	1.0	0.8571428571428571
ivm7	4G\	4d\	16.g/L	[4b-\	1.5	M2/4	1.0	off beat	0.0	1.0
ivm7	4G\	4d\	32d/JJk	[4b-\	1.875	M2/4	0.0	off beat	0.0	0.5714285714285714
-VII7	4C/	8g\L	4e/	8b-\L]	2	M2/4	3.0	weak beat	1.0	0.8571428571428571
-VII7	4C/	8e\J	4e/	16.gg\L	2.5	M2/4	1.0	off beat	0.0	0.6666666666666666
-VII7	4C/	8e\J	4e/	32b-\JJk	2.875	M2/4	1.0	off beat	0.0	0.2857142857142857
VIb	8D/L	8c/L	8f/L	8a/L	1	M2/4	4.0	strong beat	1.0	0.3333333333333333
VI	8BB-/J	8B-/J	8d/J	16.b-/L	1.5	M2/4	4.0	off beat	1.0	0.8
VI	8BB-/J	8B-/J	8d/J	32g/JJk	1.875	M2/4	1.0	off beat	0.0	0.0
V/III[-VII]	8C/L	8A/L	8c/L	8f/L	2	M2/4	4.0	weak beat	1.0	0.2857142857142857
V7/III[-VII7]	8C/J	16.G/L	8B-/J	16.e/L	2.5	M2/4	3.0	off beat	1.0	0.8571428571428571
V7/III[-VII7]	8C/J	64B-/LL	8B-/J	64g/LL	2.875	M2/4	1.0	off beat	0.0	0.8571428571428571
V7/III[-VII7]	8C/J	64G/JJJJ	8B-/J	64e/JJJJ	2.9375	M2/4	2.0	off beat	0.0	0.0
III	8F/L	4F/	4A/	4f/	1	M2/4	3.0	strong beat	1.0	0.8
III	8C/	4F/	4A/	4f/	1.5	M2/4	1.0	off beat	0.0	0.5
III	8FF/J	8r	8r	8r	2	M2/4	1.0	weak beat	0.0	0.6666666666666666
III	8F\	8r	8r	8a/	2.5	M2/4	2.0	off beat	0.0	0.0
III	8r	8r	8r	4cc\	1	M2/4	1.0	strong beat	0.0	0.4
viioD7/iv	8F#\	8A/	8e-/	4cc\	1.5	M2/4	3.0	off beat	1.0	0.0
iv	8G\L	8B-/L	8d/L	8b-/L	2	M2/4	4.0	weak beat	1.0	0.0
v	8A\J	8c/J	8c/J	8a/J	2.5	M2/4	3.0	off beat	1.0	0.0
ivb	8B-\L	8d\L	8B-/L	8g/L	1	M2/4	3.0	strong beat	1.0	0.0
viioD7c/iv	8c\	8c\	8e-/	16.a/L	1.5	M2/4	3.0	off beat	1.0	0.6666666666666666
ivb	8c\	8c\	8e-/	32f#/JJk	1.875	M2/4	1.0	off beat	1.0	0.0
ivb	8B-'\J	8B-'\J	8d'/J	8g/L	2	M2/4	3.0	weak beat	0.0	0.5
ivb	8r	8r	8r	8dd/J	2.5	M2/4	1.0	off beat	0.0	1.0
ivb	8r	8r	8r	8.dd\L	1	M2/4	0.0	strong beat	0.0	0.4
Gn	8B-'\	8f'\	8g#/	8.dd\L	1.5	M2/4	3.0	off beat	1.0	0.75
Gn	8B-'\	8f'\	8g#/	16ee\Jk	1.75	M2/4	1.0	off beat	0.0	0.8571428571428571
Gn	8B-'\L	8f'\L	8g#/L	8ff\L	2	M2/4	1.0	weak beat	0.0	0.8571428571428571
Gn	8B-'\J	8f'\J	8d/J	8g#\J	2.5	M2/4	1.0	off beat	0.0	0.75
V	4.A\	4f\	4d/	4g#/	1	M2/4	1.0	strong beat	1.0	0.2857142857142857
V	4.A\	8e\L	8c#/L	8a\L	2	M2/4	3.0	weak beat	0.0	0.3333333333333333
V/iv	8F#\	[8d\J	24a/L	8aa\J	2.5	M2/4	3.0	off beat	1.0	1.0
V/iv	8F#\	[8d\J	24dd/	8aa\J	2.66667	M2/4	1.0	off beat	0.0	0.8571428571428571
V/iv	8F#\	[8d\J	24cc/JJ	8aa\J	2.83333	M2/4	1.0	off beat	0.0	0.5
